Intersection at: (-5725.9793178403215,9504.214870568725) -> s2977 s8774
Intersection at: (3741.252803406763,9502.878672068518) -> s5963 s8160
Intersection at: (-196.1772489813405,9495.852696871176) -> s1252 s7426
Intersection at: (3556.216146424314,9493.378367919277) -> s2965 s7865
Intersection at: (6683.114288670263,9487.083833910498) -> s4241 s7271
Intersection at: (4061.802842971293,9485.118513519372) -> s167 s3432
Intersection at: (-196.37279693519557,9477.528377761346) -> s7281 s7426
Intersection at: (-7951.9410678572585,9474.96047328894) -> s3020 s730
Intersection at: (9497.29460855255,9473.411705633305) -> s2981 s9124
Intersection at: (7267.008746272682,9452.629658210588) -> s432 s1517
Intersection at: (4289.0857688796505,9437.550250593073) -> s7219 s3516
Intersection at: (1970.2568880130927,9432.99013166153) -> s8996 s6434
Intersection at: (1927.1425739237088,9429.334518544552) -> s8247 s4706
Intersection at: (-763.8133550666706,9411.040689597841) -> s6756 s4408
Intersection at: (-3076.4588130339284,9409.478867294913) -> s5072 s6535
Intersection at: (2216.0030007973073,9407.32409272088) -> s321 s3202
Intersection at: (-5634.0383380044295,9405.493956313509) -> s2977 s4336
Intersection at: (8953.590233917144,9405.354006838594) -> s5765 s2202
Intersection at: (1042.6629410711948,9382.824190298154) -> s4227 s6724
Intersection at: (3416.0298674692035,9380.075822840632) -> s2965 s3147
Intersection at: (9362.851859037457,9378.53718985882) -> s2981 s8565
Intersection at: (1334.9654922690945,9372.56563233515) -> s2945 s7000
Intersection at: (978.1259665260957,9371.148911879629) -> s9924 s7146
Intersection at: (4341.072311596327,9364.787472785774) -> s4466 s4199
Intersection at: (-965.4840370976253,9363.633272287667) -> s6462 s312
Intersection at: (-539.8136040883365,9349.313904264262) -> s8210 s1241
Intersection at: (-5953.473215054216,9346.13919686802) -> s378 s753
Intersection at: (-5750.895409231202,9327.64646700548) -> s8840 s8774
Intersection at: (-2070.9188213637235,9323.226148326785) -> s8069 s1084
Intersection at: (8795.383879053483,9312.049833835226) -> s6577 s3772
Intersection at: (-5541.596439914637,9306.235184966923) -> s2977 s9155
Intersection at: (9555.09663019217,9305.256192498231) -> s8043 s1972
Intersection at: (-5543.105940831239,9289.467263180712) -> s9155 s4336
Intersection at: (3863.6764520054785,9288.211250524744) -> s6863 s8160
Intersection at: (-8857.875059852584,9273.96187926462) -> s3125 s4003
Intersection at: (-8856.815749156616,9272.098978764097) -> s2454 s4003
Intersection at: (-8855.893529494335,9271.435928173074) -> s3125 s2454
Intersection at: (7147.572042668915,9270.40749712327) -> s1517 s3754
Intersection at: (4158.094366868136,9259.528022966644) -> s6896 s7219
Intersection at: (1102.2400010787778,9254.427159636827) -> s3235 s135
Intersection at: (-243.06301748592378,9243.728623703031) -> s8985 s7281
Intersection at: (988.5587817532988,9228.314612986835) -> s9924 s6724
Intersection at: (8713.75061401707,9206.843059628358) -> s5765 s2694
Intersection at: (-4449.651294471314,9197.768836073346) -> s4088 s5197
Intersection at: (6664.951979295367,9190.888710998246) -> s7732 s7297
Intersection at: (3831.4472476194983,9190.863202850696) -> s3432 s6863
Intersection at: (-2507.5260036785335,9188.401803232018) -> s4986 s5240
Intersection at: (-5908.008095538841,9184.69983349601) -> s8589 s378
Intersection at: (-5907.240643572919,9181.974734384477) -> s3988 s378
Intersection at: (-2605.2754688002287,9156.802302925313) -> s5072 s5096
Intersection at: (3618.651710497606,9110.262186122945) -> s1214 s5167
Intersection at: (-600.4431023157706,9107.448021236178) -> s2510 s1241
Intersection at: (-6099.121780117446,9100.698164912214) -> s5499 s6017
Intersection at: (1415.389996133093,9100.054801363463) -> s1525 s3392
Intersection at: (5241.720157930577,9090.907418161261) -> s8307 s4124
Intersection at: (-8695.498928983068,9066.973294253501) -> s3125 s6064
